TLP,Observable (not an IOC!),Comment,Source
WHITE,6z84a5[.]zm-kariz-best254[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,708m8v[.]cooperbline[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,7327fy[.]nftomas[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,778lin[.]testingarsip[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,7fo5kj[.]nice-credits-list187[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,7fze5c[.]traveltunnels[.]com,First stage DoppelGänger,Sekoia.io
WHITE,7hq7ul[.]real-credits-snap123[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,7kt49m[.]varinderafurniture[.]com,First stage DoppelGänger,Sekoia.io
WHITE,7nqugi[.]active-credvia0[.]fun,First stage DoppelGänger,Sekoia.io
WHITE,7ojezy[.]hobocoin[.]online,First stage DoppelGänger,Sekoia.io
WHITE,7tnsyh[.]dreamigrationcanada[.]com,First stage DoppelGänger,Sekoia.io
WHITE,7w95on[.]xchess[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,89d8b6[.]gamewin31[.]click,First stage DoppelGänger,Sekoia.io
WHITE,8axkxt[.]testingarsip[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,8gd9w7[.]intresso-cre-ad79[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,8i0o5h[.]cacar[.]org,First stage DoppelGänger,Sekoia.io
WHITE,8i91p5[.]cleverwebmedia[.]com,First stage DoppelGänger,Sekoia.io
WHITE,8mkatm[.]reyt-cre-ann36[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,8nyxgz[.]608tk44[.]com,First stage DoppelGänger,Sekoia.io
WHITE,8o5bqr[.]cbrtheorieexamenoefenen[.]nl,First stage DoppelGänger,Sekoia.io
WHITE,8rywio[.]multicanais[.]fyi,First stage DoppelGänger,Sekoia.io
WHITE,8tknm7[.]cinewoo[.]be,First stage DoppelGänger,Sekoia.io
WHITE,8z12l0[.]contrachonhonghais[.]store,First stage DoppelGänger,Sekoia.io
WHITE,914uef[.]theearthangelconnection[.]com,First stage DoppelGänger,Sekoia.io
WHITE,91tvhf[.]newsallusa[.]online,First stage DoppelGänger,Sekoia.io
WHITE,93e9g8[.]top-kred-kic35[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,98pjwu[.]iptv-neoss[.]com,First stage DoppelGänger,Sekoia.io
WHITE,99h57r[.]lifestyleoffer[.]life,First stage DoppelGänger,Sekoia.io
WHITE,9dcw3b[.]blockmuseum[.]art,First stage DoppelGänger,Sekoia.io
WHITE,9houtn[.]abspro[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,9ikj6m[.]fartpoopoo[.]gay,First stage DoppelGänger,Sekoia.io
WHITE,9iyixk[.]forexandcurrencynews[.]com,First stage DoppelGänger,Sekoia.io
WHITE,9j9dg4[.]kredyt-k76[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,9t7ecm[.]comeback159[.]click,First stage DoppelGänger,Sekoia.io
WHITE,9wp545[.]cypressnewsgh[.]online,First stage DoppelGänger,Sekoia.io
WHITE,a3fuhh[.]thraciangrill[.]com,First stage DoppelGänger,Sekoia.io
WHITE,a8czwp[.]gituyahmainnya18[.]click,First stage DoppelGänger,Sekoia.io
WHITE,ac7e94[.]glucoberry[.]life,First stage DoppelGänger,Sekoia.io
WHITE,ag3w95[.]harperkayes[.]com,First stage DoppelGänger,Sekoia.io
WHITE,akpnyh[.]perludiketahui[.]click,First stage DoppelGänger,Sekoia.io
WHITE,aoyinx[.]bukuygemoy335[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,auour6[.]innoviosoft[.]com,First stage DoppelGänger,Sekoia.io
WHITE,avp911[.]canadiendocrinologo[.]store,First stage DoppelGänger,Sekoia.io
WHITE,ax8tmv[.]kuslaskillc[.]com,First stage DoppelGänger,Sekoia.io
WHITE,axbd3u[.]intermediationservices[.]com,First stage DoppelGänger,Sekoia.io
WHITE,b6vcvm[.]onla[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,beicuy[.]abtbatteries[.]com,First stage DoppelGänger,Sekoia.io
WHITE,blcom1[.]weprovidecare247[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,bml4lj[.]cinewoo[.]be,First stage DoppelGänger,Sekoia.io
WHITE,buegym[.]ranking-kariz108[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,bujeas[.]earthcoine[.]com,First stage DoppelGänger,Sekoia.io
WHITE,bvgs4d[.]kredyt-max-89[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,bvrcq6[.]cypressnewsgh[.]online,First stage DoppelGänger,Sekoia.io
WHITE,bwewkd[.]verify-loc[.]info,First stage DoppelGänger,Sekoia.io
WHITE,bz4ftv[.]recetacasera[.]online,First stage DoppelGänger,Sekoia.io
WHITE,c11gpw[.]fl-studio-mobile-apk[.]online,First stage DoppelGänger,Sekoia.io
WHITE,c1y811[.]northarlingtonsmiles[.]com,First stage DoppelGänger,Sekoia.io
WHITE,c3wtcy[.]first-credi76[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,c44u87[.]sga62[.]link,First stage DoppelGänger,Sekoia.io
WHITE,ciatoj[.]hero-review[.]online,First stage DoppelGänger,Sekoia.io
WHITE,ck5bo8[.]kredyt-kr52[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,cofcoe[.]mkfashion[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,cqwub4[.]pefortexbusiness[.]com,First stage DoppelGänger,Sekoia.io
WHITE,ctdxdr[.]projectsbyphoenyx[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,ctefwp[.]parimatchbook11[.]com,First stage DoppelGänger,Sekoia.io
WHITE,cxvnur[.]khach-hang-ca-nhan-v-n[.]com,First stage DoppelGänger,Sekoia.io
WHITE,d6egyr[.]borafazerfestaoficial[.]online,First stage DoppelGänger,Sekoia.io
WHITE,d6zusz[.]nelfashealthykakanin[.]com,First stage DoppelGänger,Sekoia.io
WHITE,dcygxs[.]bestholidaytour[.]website,First stage DoppelGänger,Sekoia.io
WHITE,dczj2g[.]real-credits-snap283[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,dhlsua[.]ppplown[.]com,First stage DoppelGänger,Sekoia.io
WHITE,dotgu4[.]almeida[.]network,First stage DoppelGänger,Sekoia.io
WHITE,dvqbcz[.]rvn[.]agency,First stage DoppelGänger,Sekoia.io
WHITE,dvr3qx[.]whencontact[.]com,First stage DoppelGänger,Sekoia.io
WHITE,dw1w44[.]skmmachiningindia[.]com,First stage DoppelGänger,Sekoia.io
WHITE,dx3wns[.]guncelgirisyeri02[.]site,First stage DoppelGänger,Sekoia.io
WHITE,dxlfh1[.]localbitch[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,e1n93u[.]mollygemoy1[.]click,First stage DoppelGänger,Sekoia.io
WHITE,e3shv0[.]paginaswebsonora[.]com,First stage DoppelGänger,Sekoia.io
WHITE,e5e2kn[.]automaticpro[.]top,First stage DoppelGänger,Sekoia.io
WHITE,e5ms4v[.]techierootsinfosoft[.]store,First stage DoppelGänger,Sekoia.io
WHITE,e5o94o[.]a2zsol[.]biz,First stage DoppelGänger,Sekoia.io
WHITE,e81877[.]real-credits-snap88[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,e869ln[.]deepmarketingsehore[.]in,First stage DoppelGänger,Sekoia.io
WHITE,e8u7jh[.]zimba[.]digital,First stage DoppelGänger,Sekoia.io
WHITE,e94gds[.]ultraman108[.]click,First stage DoppelGänger,Sekoia.io
WHITE,ecsfey[.]lucky-cred-moment18[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,ek3gog[.]ukgraphiclab[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,ekpmpd[.]ppplown[.]com,First stage DoppelGänger,Sekoia.io
WHITE,elf9n4[.]kredyt-kr71[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,elxtbm[.]taigamebaisung[.]com,First stage DoppelGänger,Sekoia.io
WHITE,er0og2[.]guesto-kre-ag34[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,er92kb[.]se5pro[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,ertsym[.]masteratendimento[.]com,First stage DoppelGänger,Sekoia.io
WHITE,ev9fnb[.]skbasedbylegend[.]live,First stage DoppelGänger,Sekoia.io
WHITE,exby8r[.]armyirr[.]info,First stage DoppelGänger,Sekoia.io
WHITE,ext2sy[.]61155[.]com,First stage DoppelGänger,Sekoia.io
WHITE,ey1wu3[.]terobosanbaru[.]click,First stage DoppelGänger,Sekoia.io
WHITE,eztyxm[.]kredit-money-fun207[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,f1pf2q[.]cepatlahini56[.]click,First stage DoppelGänger,Sekoia.io
WHITE,f26a9s[.]openminded[.]click,First stage DoppelGänger,Sekoia.io
WHITE,f573ej[.]rating-cred122[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,f5j5jc[.]gojjorealty[.]net,First stage DoppelGänger,Sekoia.io
WHITE,f6t445[.]cypressnewsgh[.]online,First stage DoppelGänger,Sekoia.io
WHITE,f86gue[.]xoixcmoy[.]click,First stage DoppelGänger,Sekoia.io
WHITE,fd1o6u[.]nice-credits-list250[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,fd4pil[.]producerglobal[.]com,First stage DoppelGänger,Sekoia.io
WHITE,fd774z[.]usedcarsdubai[.]net,First stage DoppelGänger,Sekoia.io
WHITE,fdrvnb[.]crochetmundial[.]site,First stage DoppelGänger,Sekoia.io
WHITE,fgfrt3[.]speaiker[.]com,First stage DoppelGänger,Sekoia.io
WHITE,fp14an[.]guncelgirisyeri02[.]site,First stage DoppelGänger,Sekoia.io
WHITE,frwi2j[.]kredit-money-fun102[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,ftpk4v[.]rou[.]bar,First stage DoppelGänger,Sekoia.io
WHITE,fuhjn5[.]aprendeconarte[.]site,First stage DoppelGänger,Sekoia.io
WHITE,g0lerc[.]sleels[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,g3khoa[.]ttop-kreds-g274[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,g3pjai[.]multicargason[.]online,First stage DoppelGänger,Sekoia.io
WHITE,g46t5u[.]abtbatteries[.]com,First stage DoppelGänger,Sekoia.io
WHITE,g6t21h[.]coyoteatv[.]com,First stage DoppelGänger,Sekoia.io
WHITE,g9y1zk[.]atlantacharterbusrentals[.]com,First stage DoppelGänger,Sekoia.io
WHITE,gaeyl9[.]gardeningflair[.]com,First stage DoppelGänger,Sekoia.io
WHITE,gcntfi[.]dubaipermits[.]com,First stage DoppelGänger,Sekoia.io
WHITE,gd3ubv[.]workaboo-challenge1[.]site,First stage DoppelGänger,Sekoia.io
WHITE,geefhs[.]pecahdor17[.]click,First stage DoppelGänger,Sekoia.io
WHITE,gg511s[.]orange-mpuc[.]online,First stage DoppelGänger,Sekoia.io
WHITE,ggcl6f[.]c-majac-ann3[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,ghjo4w[.]casausaigon[.]com[.]vn,First stage DoppelGänger,Sekoia.io
WHITE,grn25m[.]cuanasia128[.]click,First stage DoppelGänger,Sekoia.io
WHITE,gs7vx1[.]meditation5a[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,gtunsw[.]din-fit[.]com,First stage DoppelGänger,Sekoia.io
WHITE,gu2511[.]pwscontrols[.]com,First stage DoppelGänger,Sekoia.io
WHITE,gyjcaa[.]reddy-anna[.]shop,First stage DoppelGänger,Sekoia.io
WHITE,h2iaf5[.]shoptapuff[.]ch,First stage DoppelGänger,Sekoia.io
WHITE,h43me0[.]yubayitajak[.]online,First stage DoppelGänger,Sekoia.io
WHITE,h6ta1c[.]arviewtv[.]org,First stage DoppelGänger,Sekoia.io
WHITE,hjv2kk[.]bobokquen[.]store,First stage DoppelGänger,Sekoia.io
WHITE,hm4g5a[.]zaletto-kerto-ann6[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,hmt56b[.]smartphonesnut[.]com,First stage DoppelGänger,Sekoia.io
WHITE,honu0h[.]malazooz[.]site,First stage DoppelGänger,Sekoia.io
WHITE,hp4nlj[.]testingarsip[.]xyz,First stage DoppelGänger,Sekoia.io
WHITE,hqcil9[.]intresso-cre-ad11[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,huxjlb[.]multicanais[.]fyi,First stage DoppelGänger,Sekoia.io
WHITE,hwhcdk[.]lailiau3[.]click,First stage DoppelGänger,Sekoia.io
WHITE,hxdtdd[.]herbsforall[.]store,First stage DoppelGänger,Sekoia.io
WHITE,i82m95[.]zm-kariz-best50[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,ibkmh3[.]kemujuranterindah[.]click,First stage DoppelGänger,Sekoia.io
WHITE,ig8sq3[.]din-fit[.]com,First stage DoppelGänger,Sekoia.io
WHITE,igyfoy[.]norfolkcustomconcrete[.]com,First stage DoppelGänger,Sekoia.io
WHITE,ii0bgu[.]cdlrecruiterai[.]com,First stage DoppelGänger,Sekoia.io
WHITE,ikf2bl[.]pastimenang9[.]site,First stage DoppelGänger,Sekoia.io
WHITE,il2nrp[.]ppplown[.]com,First stage DoppelGänger,Sekoia.io
WHITE,ilduep[.]gasskuy138[.]click,First stage DoppelGänger,Sekoia.io
WHITE,iok1ty[.]zanpakuto74[.]click,First stage DoppelGänger,Sekoia.io
WHITE,irc3ae[.]freevideodownloader[.]pro,First stage DoppelGänger,Sekoia.io
WHITE,iwkjpg[.]frisurenmarkt[.]com,First stage DoppelGänger,Sekoia.io
WHITE,ixf4ad[.]cooperbline[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,j11lom[.]pankajnakhat[.]com,First stage DoppelGänger,Sekoia.io
WHITE,j2mupk[.]kredit-money-fun147[.]buzz,First stage DoppelGänger,Sekoia.io
WHITE,j33gr3[.]sga94[.]online,First stage DoppelGänger,Sekoia.io
WHITE,jagsan[.]maidanviewwindowinstallations[.]co[.]uk,First stage DoppelGänger,Sekoia.io
WHITE,jb3ye7[.]realizeit[.]click,First stage DoppelGänger,Sekoia.io
