IOC, Valid From, Valid Until, Link
https://onesoftware.site/,2022-11-15T00:00:00Z,2023-05-14T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--5479701f-ff64-4da0-bb0a-2772076c1ae2
https://unisoft.store/,2022-11-15T00:00:00Z,2023-05-14T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--1f961797-91db-48a1-a751-cce97d0f1670
https://winsofts.cloud/,2022-11-15T00:00:00Z,2023-05-14T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--b9b59eca-c9fb-478e-92aa-0b5464c32c0d
mividajugosa.com,2022-11-07T00:00:00Z,2023-05-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--6629db7c-5eb1-4e2a-9002-fa4bf3258e3b
https://mividajugosa.com/,2022-11-07T00:00:00Z,2023-05-06T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--65adeec7-3e13-46b5-a3b7-42868def8ea3
https://cdn.discordapp.com/attachments/1028937934763720724/1038878571302756372/Adobe_Photoshop_2022_CRACK.rar,2022-11-01T00:00:00Z,2023-04-30T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--cbabecbc-9947-417d-ab7d-16af935a555b
https://cdn.discordapp.com/attachments/1036677135621951653/1037145460089040916/Adobe_Photoshop.zip,2022-11-01T00:00:00Z,2023-04-30T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f83670ed-e8be-4a39-9ed9-589675378d45
https://cdn.discordapp.com/attachments/1036703574828269658/1037132394534281266/Adobe_Premiere_Pro.zip,2022-11-01T00:00:00Z,2023-04-30T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--f8a16ddb-7fbf-4a4a-926c-b74b06c2cb5b
https://cdn.discordapp.com/attachments/1037343714319794236/1037352224650690650/Adobe_Photoshop.zip,2022-11-01T00:00:00Z,2023-04-30T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--44a28593-590b-4d65-8b93-38b701be316e
https://cdn.discordapp.com/attachments/1041004296050835459/1041454535836696656/onesoftware.site.zip,2022-11-01T00:00:00Z,2023-04-30T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--656954a1-1260-4c9c-8dc1-d0b78ed3e35b
https://cdn.discordapp.com/attachments/1041004296050835459/1041740296993636372/FreeSoft.zip,2022-11-01T00:00:00Z,2023-04-30T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--8ce44e8c-29cd-45da-85cd-e77487cef3cc
https://www.dropbox.com/s/dl/0wzz3wsk5sy7kck/Fortnite%20Hack%20%231.zip,2022-11-01T00:00:00Z,2023-05-14T00:00:00Z,https://app.sekoia.io/intelligence/public/objects/indicator--a0c1f6fa-b602-4a45-8ad7-0b50d8e5c56d
