tlp,type,name,observable_types,valid_from,valid_until,confidence,kill_chain,sources
white,indicator,control-updt.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,tools-cts.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,node-sec.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,checksum-mz.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,update-ntp.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,sync-analytics.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,t2m.gd,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,biturl.li,domain-name,2022-01-01T00:00:00Z,2022-06-30T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,geomap-apple.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,mtp-socket.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,diag-cts.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,updater-check.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,build-symcd.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,mtp-sources.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ntp-layers.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,soft-asset.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,synchro-ntp.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,forward-provider.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ota-build.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,east-ssl-endpoint.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,checksum-ota.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,smsg-updater.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,socket-metrics.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,cts-updt.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,diagnostic-dev.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,tinurl.ink,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,banana-sulfate.org,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,ntp-node.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,t2m.ink,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,nserver7-apple.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,snip.gd,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,repo-ssl.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,cts-socket.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,build-search.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
white,indicator,relay-analytics.com,domain-name,2022-01-01T00:00:00Z,2022-08-20T00:00:00Z,100,command-and-control (lockheed-martin-cyber-kill-chain), command-and-control (mitre-attack),SEKOIA
