Type,IOC
domain,crochetnews[.]com
domain,dom-news[.]com
domain,readnewshot[.]com
domain,pharaosjournal[.]com
domain,bfilmnews[.]com
domain,theanalyticsnews[.]com
domain,galatinonews[.]com
domain,midcitylanews[.]com
domain,muslimnewsdaily[.]com
IP,31.42.177[.]78
IP,158.255.211[.]40
IP,45.14.70[.]186
IP,46.102.152[.]118
IP,139.99.178[.]56
IP,95.183.51[.]161
IP,195.144.21[.]159
IP,103.232.53[.]230
IP,194.62.42[.]109
