Type,IOC
domain,updates.uk[.]com
domain,onlinebusinessadviceuk[.]com
domain,assets.completehealthcareuk[.]net
domain,d2rwiki[.]net
domain,taiwancht[.]com
domain,herosofthestorms[.]com
domain,note.legendsec[.]net
domain,faststartbusiness[.]com
domain,msdnsvc[.]com
domain,assets.bettendorfhealthcare[.]com
domain,eblogpro[.]com
domain,getdsoft[.]com
domain,themobilecard[.]com
domain,img.microsoftupdate.cc
domain,windows.msgetupdate.com
domain,fwd.splunk.eu.com
domain,file.updateswindows.com
